"","Nmeanavg","Nsd","TheoNse"
"n=1,000",2.71586,0.0273093094720168,0.0276728998561135
"n=2,000",2.717385,0.0195239887411266,0.0195676951433541
"n=5,000",2.7193,0.011390462074149,0.0123756970425628
"n=10,000",2.718517,0.00853268291792083,0.00875093930070644
"n=100,000",2.7183408,0.00260306915976219,0.00276728998561135
