"","Mean","Median","Std_Dev","CoV","Min","Max","Skewness","Kurtosis"
"X0_1",-0.001,0,0.032,-23.309,-0.097,0.116,-0.051,0.053
"X0_2",0.001,0,0.031,52.624,-0.091,0.125,0.209,0.223
"X0.05_1",0.052,0.053,0.034,0.643,-0.05,0.156,-0.003,-0.095
"X0.05_2",0.051,0.051,0.032,0.627,-0.038,0.164,0.108,0.117
"X0.1_1",0.112,0.112,0.035,0.313,-0.011,0.218,-0.049,-0.045
"X0.1_2",0.109,0.109,0.032,0.293,0.006,0.205,-0.021,-0.13
"X0.15_1",0.176,0.175,0.035,0.201,0.066,0.285,-0.044,-0.21
"X0.15_2",0.174,0.172,0.032,0.186,0.062,0.282,-0.024,-0.158
"X0.2_1",0.247,0.247,0.037,0.151,0.117,0.353,-0.05,-0.009
"X0.2_2",0.248,0.249,0.033,0.132,0.158,0.364,-0.029,-0.14
