"","Mean","Median","Std_Dev","CoV","Min","Max","Skewness","Kurtosis"
"X0_1",-0.003,-0.003,0.072,-25.078,-0.225,0.264,0.063,-0.012
"X0_2",-0.003,-0.003,0.07,-26.005,-0.2,0.254,-0.002,0.042
"X0.05_1",0.044,0.043,0.074,1.691,-0.205,0.294,-0.05,-0.117
"X0.05_2",0.046,0.046,0.071,1.537,-0.17,0.317,0.019,0.018
"X0.1_1",0.104,0.102,0.077,0.737,-0.121,0.338,0.02,-0.131
"X0.1_2",0.104,0.104,0.072,0.696,-0.132,0.337,-0.028,-0.083
"X0.15_1",0.164,0.163,0.08,0.49,-0.095,0.379,-0.058,-0.155
"X0.15_2",0.168,0.17,0.072,0.427,-0.077,0.415,-0.077,0.226
"X0.2_1",0.237,0.24,0.085,0.359,-0.023,0.463,-0.128,-0.243
"X0.2_2",0.238,0.239,0.074,0.311,0.007,0.511,-0.028,-0.109
