"","Mean","Median","Std_Dev","CoV","Min","Max","Skewness","Kurtosis"
"X0_1",-0.002,-0.001,0.046,-23.312,-0.174,0.152,-0.018,0.003
"X0_2",-0.002,0,0.044,-28.505,-0.146,0.164,-0.053,0.015
"X0.05_1",0.05,0.05,0.047,0.958,-0.132,0.194,-0.056,0.065
"X0.05_2",0.053,0.053,0.046,0.875,-0.093,0.19,-0.026,-0.173
"X0.1_1",0.109,0.11,0.048,0.442,-0.036,0.242,0.041,-0.166
"X0.1_2",0.107,0.107,0.045,0.417,-0.038,0.234,-0.023,-0.204
"X0.15_1",0.173,0.171,0.052,0.301,0.014,0.331,0.047,-0.252
"X0.15_2",0.173,0.172,0.046,0.268,0.012,0.324,-0.044,-0.092
"X0.2_1",0.247,0.248,0.054,0.219,0.07,0.412,-0.098,-0.122
"X0.2_2",0.243,0.243,0.048,0.197,0.101,0.362,-0.117,-0.404
