"","0.1","0.5","1","1.5","2","2.5","3"
"LM.0",51,49,54,45,51,54,56
"LM.1",71,66,65,66,66,61,64
"LM.2",52,44,50,49,51,51,58
"LM.3",56,54,55,52,50,52,52
"GWR.0",3,513,403,259,196,146,115
"GWR.1",0,1,20,37,50,53,64
"GWR.2",0,15,62,66,62,50,53
"GWR.3",0,59,93,69,73,63,63
