"","0.7_var","0.7_mean","0.3_var","0.3_mean","0_var","0_mean","-0.5_var","-0.5_mean","-0.9_var","-0.9_mean"
"0",0,0.5,0,0.5,0,0.5,0,0.5,0,0.5
"1",4.4173747448981e-08,0.70618255,4.82165371428572e-08,0.73243006,9.03187817346907e-08,0.76027067,5.29962453061231e-08,0.84129886,5.10056489795907e-09,0.98733292
"2",4.78710519387743e-08,0.86100679,5.02837882653077e-08,0.89257385,2.86738697959177e-08,0.92137324,1.14588061224495e-08,0.9772469,1.41030612244818e-12,0.99999627
"3",2.15348608163271e-08,0.94813342,2.01969515306144e-08,0.96858015,7.59374938775629e-09,0.98306916,7.62438367346723e-10,0.99864098,0,1
"4",4.7062368367352e-09,0.98497477,4.24131591836663e-09,0.99343452,7.94602448979503e-10,0.99766586,1.58866326531139e-11,0.99996831,0,1
