"","mc.var","mc.mean","ip.var","ip.mean","av.var","av.mean","cv.var","cv.mean"
"-2",2.07426778768769e-08,0.022744651,3.00378275728319e-10,0.0227497431281039,1.11762603981481e-08,0.0227504285,3.62446223147147e-09,0.0227519726
"-2.5",6.22347255655656e-09,0.006206446,3.01578335525868e-11,0.00620977687200757,3.07627436536537e-09,0.006208903,2.7577984762002e-08,0.0062060174
"-3",1.32112717117117e-09,0.001350366,1.76506028770542e-12,0.00134990028259026,6.60104047797798e-10,0.0013514425,4.25779875475476e-09,0.001353122
"-3.5",2.38995970970971e-10,0.000231205,6.89375102757695e-14,0.000232631279131301,1.17746122122122e-10,0.000233068,4.24198067983984e-09,0.000233792200000001
"-4",2.97324964964965e-11,3.1606e-05,1.57214444935053e-15,3.16692458444013e-05,1.50730307807808e-11,3.17435e-05,3.78911123523523e-09,3.36140000000013e-05
"-5",3.06625625625626e-13,2.91e-07,1.54770717451309e-19,2.86647557924732e-07,1.54858858858859e-13,2.86e-07,3.97341294058058e-09,-3.36059999999876e-06
"-6",0,0,2.30690168936073e-24,9.86540279984003e-10,4.99499499499499e-16,1e-09,3.55160293857858e-09,-7.93999999987388e-08
