"","0.7_var","0.7_mean","0.3_var","0.3_mean","0_var","0_mean","-0.5_var","-0.5_mean","-0.9_var","-0.9_mean"
"0",2.85700000000005e-07,0.4999982,2.97121783265312e-07,0.50004082,1.82582057551022e-07,0.49993994,3.04598120816324e-07,0.49983896,2.42895510204077e-07,0.500078
"1",3.07685926938768e-07,0.70624246,1.62116367346935e-07,0.732475,1.49811691428574e-07,0.76025868,1.28519073061221e-07,0.84130578,1.33473812244895e-08,0.98734192
"2",1.85485160816333e-07,0.86092632,1.13536914693875e-07,0.89248894,7.49745179591816e-08,0.92135618,1.61415187755112e-08,0.97723854,4.91795918371106e-12,0.99999602
"3",6.07131791836752e-08,0.94810062,2.79251106122468e-08,0.96858946,2.80144608163267e-08,0.98306422,1.32628571428553e-09,0.998643,0,1
"4",1.36923367346929e-08,0.9849857,5.20135061224483e-09,0.99343858,3.08567714285719e-09,0.99766542,4.08310204082022e-11,0.99996784,0,1
