"","0.7_var","0.7_mean","0.3_var","0.3_mean","0_var","0_mean","-0.5_var","-0.5_mean","-0.9_var","-0.9_mean"
"0",0,0.5,0,0.5,0,0.5,0,0.5,0,0.5
"1",6.56341691666655e-08,0.706202005,5.65071681565655e-08,0.732480855,7.13044174494914e-08,0.760259685,5.8717953131315e-08,0.84134308,5.65582636363702e-09,0.98732387
"2",4.30524588636371e-08,0.860947115,4.13389107070711e-08,0.89261872,3.97847762373747e-08,0.921361155,1.00595255303024e-08,0.977241585,2.23878787877825e-12,0.99999594
"3",2.46342429040426e-08,0.948109545,1.60890504040411e-08,0.96858601,8.47520431818207e-09,0.983035765,7.73837272727243e-10,0.99865431,0,1
"4",6.97773926767763e-09,0.984972575,3.38530464646502e-09,0.99344978,1.16244282828281e-09,0.99766704,1.63409090909157e-11,0.99996835,0,1
