"","0.7_var","0.7_mean","0.3_var","0.3_mean","0_var","0_mean","-0.5_var","-0.5_mean","-0.9_var","-0.9_mean"
"0",0,0.5,0,0.5,0,0.5,0,0.5,0,0.5
"1",1.65719547070705e-07,0.70617122,2.22579382929297e-07,0.73241703,1.6806814737374e-07,0.76024621,2.10538656969693e-07,0.84133836,2.7073772313131e-07,0.98725529
"2",1.98730716767673e-07,0.86100252,2.75103646464649e-07,0.8926237,2.18586412525249e-07,0.92138146,2.04021544545455e-07,0.97721753,1.63240978181829e-07,0.99993854
"3",2.30072878686865e-07,0.94809451,2.82772482424239e-07,0.96859268,2.02153696969701e-07,0.9830716,2.61727738484848e-07,0.99868233,2.22342931212124e-07,1.00001341
"4",1.91873080808084e-07,0.9849707,2.11644846363633e-07,0.99346389,2.64694268585854e-07,0.99768021,2.22471707070712e-07,0.9998685,2.41423908686873e-07,1.00000448
