"","0.7_var","0.7_mean","0.3_var","0.3_mean","0_var","0_mean","-0.5_var","-0.5_mean","-0.9_var","-0.9_mean"
"0",0,0.5,0,0.5,0,0.5,0,0.5,0,0.5
"1",1.37741658775512e-07,0.70617312,1.30236398367344e-07,0.73246736,1.6092767387755e-07,0.76034186,2.33626326530621e-07,0.8413982,2.50761905714277e-07,0.98742782
"2",2.1150347102041e-07,0.86091428,3.14249177142868e-07,0.89257708,2.15846085306124e-07,0.92128658,2.57025510204084e-07,0.9773354,1.79124801632649e-07,0.99996812
"3",2.36378313877554e-07,0.94818918,3.13768285714289e-07,0.9686222,1.81238091836733e-07,0.9830793,2.02759714285711e-07,0.9987038,2.80325794285709e-07,0.99997804
"4",2.80383922040815e-07,0.98493958,2.88767673469389e-07,0.9933444,2.99420997551018e-07,0.99765332,2.58774534285722e-07,0.99989558,2.47885761632654e-07,1.00011644
