"","year","latitude","longitude","depth","intensity"
"422",89,23.05,120.81,5,4.5
"423",89,22.53,120.97,15.9,4.1
"424",89,23.05,120.86,3.6,4.8
"425",89,23.08,120.82,3,4.6
"426",89,23.1,120.85,4.7,4.1
"427",89,23.1,120.84,4.3,4
"428",89,23.26,121.39,28,4.6
"429",89,23.09,120.84,5.6,4.5
"430",89,23.08,120.83,3,4.6
"431",89,23.12,120.84,6.2,4
"432",89,23.04,120.97,3,4.6
"433",89,23.66,121.57,27.2,5.7
"434",89,23.64,121.6,20.5,4.7
"435",89,24.47,120.97,7.6,4.3
"436",89,24.02,121.59,6.2,3.3
"437",89,24.02,121.58,7.3,3.2
"438",89,23.92,121.4,18.4,4.2
"439",89,24.01,121.56,11.7,3.7
"440",89,23.43,120.39,12,3.9
"441",89,22.41,120.65,64.3,4.7
"442",89,24.03,121.56,6.5,3.2
"443",89,24.1,122.02,42,4.4
"444",89,23.51,120.41,10.7,4.3
"445",89,24.1,121.44,3.9,5.1
"446",89,23.11,120.44,14.8,4.3
"447",89,23.11,120.43,15.3,4.3
"448",89,24.23,121.73,12,4.1
"449",89,23.87,120.99,3,4.4
"450",89,24.25,121.43,13.5,4
"451",89,24.05,121.62,20,6.2
"452",89,23.95,121.35,3,4.4
"453",89,24.11,121.7,18.5,4
"454",89,24.14,121.67,12,4.9
"455",89,24.32,121.56,15.9,3.9
"456",89,24.4,122.06,7.2,4.5
"457",89,22.15,121.48,76.9,5
"458",89,24.36,120.97,3,4.8
"459",89,23.92,121.34,8.4,4.4
"460",89,23.08,120.84,6.9,4.5
"461",89,24.47,121.95,25.7,5.2
"462",89,24.73,121.7,84.4,5.1
"463",89,23.34,120.95,5.7,4.4
"464",89,24.23,121.4,13,4.1
"465",89,24.23,121.39,16.4,4.1
"466",89,23.64,121.49,20.2,4.3
"467",89,24.07,121.62,10.2,4
"468",89,24.07,121.6,11.2,3.8
"469",89,24.07,121.61,12.8,4
"470",89,24.15,121.56,20,3.9
"471",89,23.36,120.01,4.9,5
"472",89,24.25,121.41,9.5,3.9
"473",89,24.24,121.41,7.9,4.2
"474",89,23.16,120.98,3,4.4
"475",89,23.07,120.84,11,4.5
"476",89,23.98,121.61,10.5,4.7
"477",89,23.97,121.58,11.9,4
"478",89,23.97,121.57,11.8,3.9
"479",89,23.98,121.59,11.7,4
"480",89,24,121.59,12.1,4.3
"481",89,24,121.56,11.4,3.6
"482",89,24.01,121.57,13.9,4
"483",89,24.12,121.53,23.4,4.8
"484",89,24.05,121.58,11.9,3.9
"485",89,24.05,121.57,10.9,4.1
"486",89,24.08,121.48,18.5,4.2
"487",89,24.04,121.58,11.9,3.6
"488",89,23.64,120.86,7.2,4.8
"489",89,23.64,120.88,7,4.7
"490",89,23.98,121.57,14.5,4.1
"491",89,23.94,120.62,21.4,4.3
"492",89,24.03,121.58,10.5,4.3
"493",89,24.04,121.57,11,3.9
"494",89,24.04,121.55,12.5,3.7
"495",89,22.75,120.77,10.2,4.5
"496",89,23.93,121.47,19,5.1
"497",89,24.22,121.4,15,4.3
"498",89,24.22,121.39,11.6,3.8
"499",89,24.25,121.33,18.7,4.7
"500",89,23.88,121.12,11.8,4.6
"501",89,24.96,121.12,16.5,4.4
"502",89,24.96,121.09,15.9,4.4
"503",89,24.23,121.06,5.9,4.6
"504",89,23.43,120.49,11.9,4.1
"505",89,24.31,121.31,5,4
"506",89,24.26,120.87,32.1,4.5
"507",89,24.08,120.96,6.9,4.5
"508",89,23.49,120.46,12.1,4
"509",89,24.21,121.64,18.1,3.9
"510",89,23.33,120.56,15.7,4.1
"511",89,23.75,121.02,23.3,4.4
"512",89,24.8,121.92,7.6,4.8
"513",89,23.93,121,8.1,4.6
"514",89,23.56,120.43,8.5,3.9
"515",89,24.15,121.52,17.6,3.9
"516",89,23.98,121.47,10.3,3.6
"517",89,23.89,121.71,19.2,5.3
"518",89,23.93,121.72,23.6,4.9
"519",89,23.48,120.83,19.1,4.6
"520",89,23.08,120.19,19.5,5.2
"521",89,23.08,120.19,16.5,5.3
"522",89,23.05,120.16,19.2,4.6
"523",89,23.06,120.16,19.2,4.8
"524",89,23.87,122.69,33,5.6
"525",89,23.28,120.37,13.6,4
"526",89,23.34,121.44,11.6,4.1
"527",89,24.11,121.54,18.8,4.6
"528",89,24.07,121.12,3,4.7
"529",89,23.48,122.01,23.6,5.3
"530",89,24.38,121.83,10.3,5.4
