year,latitude,longitude,depth,intensity
88,23.7,121,5.8,4.5
88,23.53,120.46,13.6,5.3
88,23.47,120.45,17.9,4.1
88,24.28,120.91,12.1,4.4
88,23.53,120.47,8.7,3.8
88,23.5,120.49,8.6,5.2
88,23.5,120.48,6.4,4.2
88,23.39,120.71,2.5,5.1
88,23.54,120.46,14.2,4.8
88,23.39,120.71,1.1,4.8
88,23.38,120.69,1.1,4.2
88,23.378,120.7,1.1,4.7
88,23.38,120.7,1.1,4.2
88,23.91,121.14,23.8,4.9
88,23.51,120.49,8.4,4.2
88,23.4,120.71,4.8,4.1
88,23.97,120.98,6,4.4
88,23.54,120.48,14.6,4.3
88,23.94,121.06,5,4.7
88,23.56,120.51,7.3,4
88,24.06,121.29,11.3,4.8
88,24.02,121.31,16.3,4.8
88,24.05,121.3,5.5,5.2
88,24.04,121.3,13.9,4.8
88,24.06,121.31,12.7,5
88,23.48,120.45,14.1,4.2
88,24.35,121.63,26.8,4.5
88,23.43,121.63,30.4,6.9
88,24.01,120.71,10.8,4.5
88,23.32,120.63,2.5,5
88,23.5,120.44,11.2,4.5
88,24.22,121.14,1.1,4.3
88,23.98,121.6,9.1,4.3
88,23.25,120.96,3.9,4.6
88,23.54,120.43,7.1,4.2
88,23.51,120.41,14.3,3.8
88,23.59,120.8,7.4,4.4
88,24.04,120.6,7.1,4.7
88,24.02,120.99,1.1,4.3
88,23.13,120.5,13.1,4.5
88,23.51,120.47,10,4.9
88,23.52,120.43,9.3,4.2
88,24.03,120.58,5.7,4.6
88,23.49,120.51,5.7,5.2
88,23.49,120.53,1.1,4.6
88,23.5,120.51,5,4.6
88,23.5,120.49,7,4.2
88,23.52,120.46,9.4,4.9
88,23.47,120.48,7.8,4.3
88,23.49,120.51,1.1,4.6
88,24.02,120.63,8.9,5.2
88,23.5,120.49,1.2,4.1
88,24.04,120.64,11.6,4.3
88,23.54,120.46,4.6,4.1
88,24.03,120.61,6.9,4.7
88,24.02,120.7,13.6,4.1
88,23.53,120.45,7.3,4.3
88,23.5,120.44,12.2,4.1
88,23.95,120.66,9.5,4.2
88,23.48,120.53,6,4.5
88,23.32,120.91,2.5,5
88,23.32,120.91,2.5,5.1
88,24.51,120.99,1.1,4.5
88,23.67,120.74,9.3,4.8
88,23.5,120.43,10.9,4.6
88,23.49,120.43,12.2,3.8
88,23.48,120.43,12.7,4.1
88,23.5,120.48,7.6,4.5
88,24.77,122.01,101.1,5
88,24.13,121.55,15.2,4.4
88,23.14,120.53,15.9,4.4
88,24.56,121.686,42.6,4.9
88,24.32,120.92,21.6,4.2
88,24.22,121.14,10.7,4.5
88,23.98,120.67,13.1,4.2
88,23.53,121.34,20,4.8
88,23.51,120.53,1,4.5
88,23.56,120.83,13.6,4.3
88,23.58,120.81,17.4,4.4
88,23.63,121.02,3.4,4.4
88,23.57,120.51,13.7,4.2
88,22.69,121.36,20.2,4.9
88,23.62,120.9,8.2,4.5
89,23.97,121,9.8,3.9
89,24.01,120.71,11.8,3.7
89,22.89,121.98,32.7,4.9
89,24.1,121.44,14,4.5
89,23.77,120.97,22.8,4.9
89,23.77,120.97,23.2,4.8
89,24.46,121,2.1,4.4
89,23.9,121.11,12.1,4.6
89,23.23,120.08,1,4.3
89,24.32,121.07,13.9,4.5
89,23.35,120.92,1,4.7
89,24.4,120.96,3.8,4.7
89,24.39,120.97,2.5,4.3
89,23.51,121.33,1,5
89,24.06,121.41,7.6,4.5
89,23.31,120.56,9.2,4.8
89,23.19,120.21,7.9,4.1
89,23.99,121.07,7.5,4.8
89,23.51,120.48,4.7,4.2
89,24.39,120.9,4.2,4.6
89,24.34,121.91,20.3,4.8
89,22.81,121.19,21.1,5.2
89,23.56,120.62,3,4.3
89,23.58,120.84,9.8,4.5
89,24.07,121.54,8,4.1
89,23.33,120.75,9.2,5.6
89,23.33,120.75,13.4,4.5
89,24.35,120.8,7.4,4
89,22.44,121.14,35.7,5
89,23.32,120.74,15.5,4.6
89,24.82,124,112,6
89,23.77,121.01,22.9,4.7
89,23.53,120.45,10.8,4.4
89,23.86,120.95,1.5,4.5
89,23.28,121.4,15,5.6
89,22.78,121.55,12.8,5
89,23.3,120.75,13.8,5.3
89,23.32,120.74,15.7,4.6
89,24.37,121.79,58.9,4.4
89,23.51,120.42,15.2,4
89,23.32,120.74,14.6,4.5
89,24.08,121.03,3,4.5
89,24.77,122.34,3,4.6
89,23.31,120.76,10.8,5
89,24.25,121.69,20,4.2
89,24.34,122.15,50.2,4.9
89,23.32,120.75,9,4.7
89,23.08,120.12,15.7,4.8
89,23.85,121.05,15.5,4.8
89,23.89,120.73,17.6,4.3
89,22.7,120.9,31.3,5.1
89,23.5,120.54,17.5,4.1
89,24.31,122.38,48.3,5.1
89,23.97,121.41,10.4,4.1
89,24.27,121.04,3.7,4.9
89,23.39,120.94,3,4.8
89,23.41,120.64,9.2,4.2
89,24.85,122,8.6,4.5
89,23.58,120.46,15.9,4.2
89,24.25,121.17,3,4.5
89,23.05,121.34,39.9,4.7
89,22.73,120.52,33,4.5
89,24.02,121.48,8.5,4.4
89,23.99,121.39,3,4.1
89,24.06,121.5,17.3,5
89,22.51,120.41,37.5,5.2
89,23.98,120.67,7.7,4.8
89,22.51,120.4,40,4.6
89,23.49,120.37,11.6,3.9
89,24.07,121.45,9.6,4.5
89,24.21,121.07,3,5.3
89,24.24,121.11,9.9,5.2
89,24.25,121.12,7.8,4.1
89,24.25,121.09,5.5,4.1
89,24.24,121.06,9.7,4.3
89,24.22,121.07,1.5,4.3
89,22.86,121.28,23.5,4.7
89,24.27,121.09,9.2,4.2
89,24.22,121.05,3.9,5
89,24.15,121.1,3,4.4
89,24.19,121.06,2.6,4.4
89,23.86,121.06,27.4,4.5
89,23.97,120.65,11.5,4.7
89,23.97,120.66,13.3,4.3
89,23.58,120.69,18.3,4.2
89,23.5,120.46,14.1,2.8
89,23.51,120.4,10.2,4.5
89,23.92,120.72,27,4.4
89,22.45,120.99,11.8,4.7
89,24.47,121.81,9.2,4.8
89,23.89,121.11,10.21,6.7
89,23.91,121.11,14,4.7
89,23.84,121.07,26.5,5.1
89,23.91,121.08,22.7,4.7
89,23.91,121.09,27.6,4.3
89,23.9,121.09,22.9,4.7
89,23.92,121.09,21.6,4.8
89,23.84,121.04,26.8,4.6
89,23.91,121.07,27.4,4.7
89,24.65,121.77,5.3,3.9
89,23.87,121.08,26.6,5
89,23.86,121.07,25,4.3
89,23.86,121.08,28.5,4.3
89,23.89,121.11,20.7,4.7
89,23.9,121.06,25.9,4.7
89,24.24,121.76,18.7,4.6
89,24.86,122.04,6,4.7
89,24.22,121.7,7.5,4.1
89,23.92,121.07,26.6,4.3
89,24.81,121.94,5.1,4.1
89,24.8,121.95,5.7,3.9
89,23.96,121.1,23.2,5.3
89,23.94,121.1,24.1,5.1
89,23.91,121.09,22.7,5.7
89,24.62,122.47,88,5.3
89,24.23,121.61,16.6,4.3
89,23.32,120.58,9.8,5
89,23.31,120.88,3,4.9
89,23.32,120.58,12,4.1
89,24.05,121.61,31.6,4.4
89,24.07,121.72,2.2,4.8
89,24.39,121.74,8.7,4
89,24.48,121.85,19.7,4.7
89,23.7,121.8,39,5.2
89,23.81,121.11,28.1,4.7
89,24,121.75,14,4.3
89,23.97,120.67,7.8,4.4
89,24.01,121.74,3.5,5
89,24,121.79,3,5.5
89,24.08,121.69,3,5.7
89,23.98,121.73,8,4.7
89,24,121.49,21.6,5.1
89,24.63,121.82,75.3,5.2
89,24.02,121.76,7,4.9
89,24.04,121.87,10,5.3
89,24.16,121.46,8,4.7
89,24.29,121.81,11.8,4.4
89,24.7,122.51,109.3,5.7
89,24.02,121.66,4.1,3.4
89,23.4,120.94,4,6.1
89,23.4,120.95,3,4.6
89,23.41,120.9,3,4
89,23.51,120.44,8.9,4.4
89,24.06,121.62,12.2,3.7
89,23.84,121.01,8.1,5.1
89,23.85,120.7,27.1,4.4
89,24.11,122.59,15.8,4.9
89,23.49,120.27,12.1,3.4
89,24.3,121.1,12.3,4.7
89,23.31,120.95,3,4.6
89,23.15,120.85,3,4.3
89,23.36,120.87,3,4.2
89,24.28,121.72,13.5,4.3
89,23.32,120.94,3,4.5
89,24.25,121.68,11.6,3.8
89,24.18,121.52,14.4,3.8
89,23.52,120.46,13.6,4
89,23.05,120.81,5,4.5
89,22.53,120.97,15.9,4.1
89,23.05,120.86,3.6,4.8
89,23.08,120.82,3,4.6
89,23.1,120.85,4.7,4.1
89,23.1,120.84,4.3,4
89,23.26,121.39,28,4.6
89,23.09,120.84,5.6,4.5
89,23.08,120.83,3,4.6
89,23.12,120.84,6.2,4
89,23.04,120.97,3,4.6
89,23.66,121.57,27.2,5.7
89,23.64,121.6,20.5,4.7
89,24.47,120.97,7.6,4.3
89,24.02,121.59,6.2,3.3
89,24.02,121.58,7.3,3.2
89,23.92,121.4,18.4,4.2
89,24.01,121.56,11.7,3.7
89,23.43,120.39,12,3.9
89,22.41,120.65,64.3,4.7
89,24.03,121.56,6.5,3.2
89,24.1,122.02,42,4.4
89,23.51,120.41,10.7,4.3
89,24.1,121.44,3.9,5.1
89,23.11,120.44,14.8,4.3
89,23.11,120.43,15.3,4.3
89,24.23,121.73,12,4.1
89,23.87,120.99,3,4.4
89,24.25,121.43,13.5,4
89,24.05,121.62,20,6.2
89,23.95,121.35,3,4.4
89,24.11,121.7,18.5,4
89,24.14,121.67,12,4.9
89,24.32,121.56,15.9,3.9
89,24.4,122.06,7.2,4.5
