"","year","latitude","longitude","depth","intensity"
"1",88,23.42,120.62,5.2,4.4
"2",88,23.85,120.78,1.1,7.3
"3",88,23.91,121.04,3.7,6.3
"4",88,23.93,121.07,6.1,5.8
"5",88,24.33,121.35,48.2,5.8
"6",88,23.78,120.87,5,6.6
"7",88,23.87,121.04,2,6.8
"8",88,23.99,121.08,12.3,5.3
"9",88,23.82,121.01,2.9,5.2
"10",88,23.88,120.98,2,5.2
"11",88,23.92,121,1,5.1
"12",88,23.92,121.02,8.9,5
"13",88,24.12,120.8,2,5.3
"14",88,23.84,120.79,0.7,5
"15",88,24.05,120.98,3.4,5.1
"16",88,23.88,120.97,1.2,5.4
"17",88,23.54,120.91,1.1,5.7
"18",88,23.97,120.79,2.9,5.6
"19",88,24.1,121.01,3.4,5.2
"20",88,23.78,121.33,8.6,5.4
"21",88,23.78,121.33,8.6,5.4
"22",88,23.45,120.83,2.5,5.3
"23",88,23.61,120.83,5,6.4
"24",88,23.51,120.93,2.5,5.5
"25",88,23.88,120.96,8.5,5.2
"26",88,23.49,120.91,2.5,5.2
"27",88,23.88,120.98,10.6,5.2
"28",88,23.73,120.75,2.5,5.2
"29",88,23.93,121,8.4,4.9
"30",88,23.99,121.03,3.1,5.1
"31",88,24.02,120.99,6.9,4.7
"32",88,23.52,120.88,3.4,4.2
"33",88,23.79,121.42,13.1,5.2
"34",88,24.07,121.12,3.7,5.2
"35",88,23.65,120.64,11,5
"36",88,23.85,120.84,1.1,4.7
"37",88,23.92,121.09,24.1,4.7
"38",88,23.81,120.95,1.1,4.5
"39",88,23.67,120.84,5.9,5.1
"40",88,23.63,120.72,12.4,4.9
"41",88,23.65,120.72,19.3,4.5
"42",88,24.07,121.38,21.4,5
"43",88,24.32,120.83,2.5,5
"44",88,23.61,120.85,2.5,5.1
"45",88,23.8,120.96,6.5,4.6
"46",88,23.81,121.32,13.7,5.2
"47",88,24.17,121.01,2.5,5
"48",88,23.73,120.78,1.6,4.7
"49",88,23.95,121.39,9.9,5.1
"50",88,23.87,120.97,5.8,4.4
"51",88,23.84,121.04,7.5,6.8
"52",88,23.73,121,19.6,5.1
"53",88,23.75,121.02,6.3,6.2
"54",88,23.79,120.98,16.2,5.2
"55",88,23.78,121.41,11.6,5.2
"56",88,23.65,120.82,1.7,4.9
"57",88,23.83,121.02,8.5,4.6
"58",88,23.89,121.03,21.3,4.7
"59",88,23.62,120.82,1.1,4.7
"60",88,23.99,121.32,2.5,4.4
"61",88,23.74,121,20.9,6
"62",88,23.65,120.69,1.1,5
"63",88,23.63,120.83,11.7,4.6
"64",88,23.52,120.91,5.7,4
"65",88,23.44,120.89,1.1,4.2
"66",88,24.21,121.21,20.4,5.2
"67",88,23.97,120.99,21.1,5.3
"68",88,23.97,120.99,21.1,5.3
"69",88,23.86,121.01,27.3,4.6
"70",88,23.62,120.8,2.5,5.1
"71",88,23.98,121.38,16.1,5
"72",88,23.51,120.87,1.1,4.8
"73",88,24.14,120.99,1.1,4.9
"74",88,24.05,120.94,8.4,4.6
"75",88,23.63,120.9,5,5.1
"76",88,23.58,120.64,4.3,4.2
"77",88,23.63,120.66,14.9,4.5
"78",88,24.28,121.17,12.9,4.5
"79",88,24.27,121.24,6.3,5.1
"80",88,24.29,121.18,12.9,4.6
"81",88,23.68,120.97,5.7,5.6
"82",88,23.99,120.71,16,4.6
"83",88,23.74,120.97,22,5
"84",88,23.57,120.91,9.4,4.4
"85",88,23.61,120.84,4.1,4.9
"86",88,23.99,120.62,6.6,4.6
"87",88,23.86,121,7.5,6.7
"88",88,23.68,120.94,5.4,4.9
"89",88,23.8,121.01,21.3,4.6
"90",88,24.27,121.22,4.7,5.2
"91",88,24.28,121.19,11.6,5.3
"92",88,24.2,121.25,15.1,5
"93",88,24.28,121.05,8.6,4.3
