"","year","latitude","longitude","depth","intensity"
"94",88,24.18,121.25,6.4,5.1
"95",88,23.72,121.35,13.9,5.4
"96",88,23.93,121.24,4.4,5.1
"97",88,23.99,120.65,10.7,5.3
"98",88,24.01,120.65,11,4.4
"99",88,24.1,121.04,3.9,5
"100",88,23.61,120.82,4.4,4.6
"101",88,23.67,120.75,11.8,5.1
"102",88,23.67,120.74,12.5,4.6
"103",88,23.62,120.86,5.9,4.6
"104",88,24.25,121.1,5.4,5
"105",88,24.45,120.82,3.1,4.8
"106",88,23.57,120.89,8.7,4.6
"107",88,24.7,121.94,63.6,5.5
"108",88,23.29,120.64,2.7,4.9
"109",88,23.95,120.95,5.9,4.8
"110",88,24.05,121.49,20.8,4.5
"111",88,23.68,120.93,3.5,5.3
"112",88,23.69,120.93,2.9,5
"113",88,23.91,121.03,10.2,4.6
"114",88,23.94,121.3,1.1,4.7
"115",88,23.88,121.08,20.9,4.9
"116",88,23.82,122.58,35,5.9
"117",88,23.98,120.64,8.3,4.6
"118",88,23.56,120.88,8.5,4.9
"119",88,24,121.09,22.8,4.5
"120",88,23.69,120.89,4.5,4.7
"121",88,23.32,120.9,1.1,4.8
"122",88,23.95,120.94,6.6,4.8
"123",88,23.79,120.94,8.5,5.2
"124",88,23.98,121.08,8.3,4.5
"125",88,23.18,120.95,1.1,4.7
"126",88,23.84,121.01,8.5,5.2
"127",88,23.96,121.02,12.4,4.9
"128",88,24.15,121.29,1.1,4.8
"129",88,24.65,121.07,11.1,5
"130",88,24.56,121.04,1.1,4.9
"131",88,23.7,121.36,20.5,5.1
"132",88,23.79,120.77,1.1,4.4
"133",88,24.05,121.45,21.6,4.5
"134",88,23.56,120.87,8.4,4.9
"135",88,24.13,121.41,9,4.3
"136",88,24.12,121.37,18,4.2
"137",88,23.9,121.02,25.3,4.4
"138",88,23.55,120.89,6.8,4.7
"139",88,23.62,120.56,12.5,4.1
"140",88,23.81,121.03,25.5,4.5
"141",88,24.01,121.29,1.1,4.7
"142",88,23.75,121.01,21.7,4.2
"143",88,23.69,120.96,9.1,4.9
"144",88,24.21,120.93,10.9,4.8
"145",88,23.56,120.79,1,4.1
"146",88,24.05,121.29,10.1,4.6
"147",88,24.01,121.29,9.1,4.5
"148",88,24.1,121.03,17.7,4.4
"149",88,23.96,121.29,3.8,4.7
"150",88,24.48,120.91,1.4,4.5
"151",88,24.27,121.08,1.1,4.7
"152",88,23.99,121.35,10.2,5.3
"153",88,23.62,120.69,8.1,4.5
"154",88,24.02,121.28,4.3,4.7
"155",88,24.03,121.33,13.2,4.9
"156",88,23.58,120.91,9.1,4.4
"157",88,23.97,121.34,14.6,5
"158",88,23.71,121.05,13.5,5.5
"159",88,23.63,120.86,6.2,5
"160",88,23.67,120.99,12.6,4.5
"161",88,23.7,121.05,27.1,4.8
"162",88,23.63,120.88,9.1,4.4
"163",88,23.47,120.42,19.2,4.1
"164",88,23.7,121.05,26.2,4.6
"165",88,23.98,120.67,11.6,4.4
"166",88,23.51,120.4,12.1,6.4
"167",88,23.48,120.47,7.8,5.1
"168",88,23.49,120.46,6.6,4.9
"169",88,23.54,120.42,7.2,6
"170",88,23.49,120.47,13.3,4.1
"171",88,23.49,120.45,14.7,4.3
"172",88,23.5,120.48,15.9,4.2
"173",88,23.55,120.52,11.3,4.4
"174",88,23.53,120.47,5,4
"175",88,23.53,120.48,14.1,4.5
"176",88,23.53,120.47,13.6,4.6
"177",88,23.53,120.46,14.1,5.1
"178",88,23.56,120.48,10.7,4
"179",88,23.56,120.47,14.2,4.2
"180",88,23.51,120.45,14.9,4
"181",88,23.5,120.46,14.7,4.2
"182",88,23.7,121,5.8,4.5
"183",88,23.53,120.46,13.6,5.3
"184",88,23.47,120.45,17.9,4.1
"185",88,24.28,120.91,12.1,4.4
"186",88,23.53,120.47,8.7,3.8
"187",88,23.5,120.49,8.6,5.2
"188",88,23.5,120.48,6.4,4.2
"189",88,23.39,120.71,2.5,5.1
"190",88,23.54,120.46,14.2,4.8
"191",88,23.39,120.71,1.1,4.8
"192",88,23.38,120.69,1.1,4.2
"193",88,23.378,120.7,1.1,4.7
"194",88,23.38,120.7,1.1,4.2
"195",88,23.91,121.14,23.8,4.9
"196",88,23.51,120.49,8.4,4.2
"197",88,23.4,120.71,4.8,4.1
"198",88,23.97,120.98,6,4.4
"199",88,23.54,120.48,14.6,4.3
"200",88,23.94,121.06,5,4.7
"201",88,23.56,120.51,7.3,4
"202",88,24.06,121.29,11.3,4.8
"203",88,24.02,121.31,16.3,4.8
"204",88,24.05,121.3,5.5,5.2
"205",88,24.04,121.3,13.9,4.8
"206",88,24.06,121.31,12.7,5
"207",88,23.48,120.45,14.1,4.2
"208",88,24.35,121.63,26.8,4.5
"209",88,23.43,121.63,30.4,6.9
"210",88,24.01,120.71,10.8,4.5
"211",88,23.32,120.63,2.5,5
"212",88,23.5,120.44,11.2,4.5
"213",88,24.22,121.14,1.1,4.3
"214",88,23.98,121.6,9.1,4.3
"215",88,23.25,120.96,3.9,4.6
"216",88,23.54,120.43,7.1,4.2
"217",88,23.51,120.41,14.3,3.8
"218",88,23.59,120.8,7.4,4.4
"219",88,24.04,120.6,7.1,4.7
"220",88,24.02,120.99,1.1,4.3
"221",88,23.13,120.5,13.1,4.5
"222",88,23.51,120.47,10,4.9
"223",88,23.52,120.43,9.3,4.2
"224",88,24.03,120.58,5.7,4.6
"225",88,23.49,120.51,5.7,5.2
"226",88,23.49,120.53,1.1,4.6
"227",88,23.5,120.51,5,4.6
"228",88,23.5,120.49,7,4.2
"229",88,23.52,120.46,9.4,4.9
"230",88,23.47,120.48,7.8,4.3
"231",88,23.49,120.51,1.1,4.6
"232",88,24.02,120.63,8.9,5.2
"233",88,23.5,120.49,1.2,4.1
"234",88,24.04,120.64,11.6,4.3
"235",88,23.54,120.46,4.6,4.1
"236",88,24.03,120.61,6.9,4.7
"237",88,24.02,120.7,13.6,4.1
"238",88,23.53,120.45,7.3,4.3
"239",88,23.5,120.44,12.2,4.1
"240",88,23.95,120.66,9.5,4.2
"241",88,23.48,120.53,6,4.5
"242",88,23.32,120.91,2.5,5
"243",88,23.32,120.91,2.5,5.1
"244",88,24.51,120.99,1.1,4.5
"245",88,23.67,120.74,9.3,4.8
"246",88,23.5,120.43,10.9,4.6
"247",88,23.49,120.43,12.2,3.8
"248",88,23.48,120.43,12.7,4.1
"249",88,23.5,120.48,7.6,4.5
"250",88,24.77,122.01,101.1,5
"251",88,24.13,121.55,15.2,4.4
"252",88,23.14,120.53,15.9,4.4
"253",88,24.56,121.686,42.6,4.9
"254",88,24.32,120.92,21.6,4.2
"255",88,24.22,121.14,10.7,4.5
"256",88,23.98,120.67,13.1,4.2
"257",88,23.53,121.34,20,4.8
"258",88,23.51,120.53,1,4.5
"259",88,23.56,120.83,13.6,4.3
"260",88,23.58,120.81,17.4,4.4
"261",88,23.63,121.02,3.4,4.4
"262",88,23.57,120.51,13.7,4.2
"263",88,22.69,121.36,20.2,4.9
"264",88,23.62,120.9,8.2,4.5
